256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,
256, 21, 28, 28, 28, 20, 28, 28, 28, 28, 28, 20, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 20, 28, 28, 28, 28, 28, 28, 28, 20, 28, 28, 20, 28, 28, 28, 20, 44, 28, 28, 38,256,
256, 19,256,256,256, 19,256,256,256,256,256, 19,256,256,256,256,256,256,256,256,256,256,256,256,256, 19,256,256,256,256,256,256,256, 19,256,256, 19,256,256,256, 19,256,256,256, 19,256,
256, 19,256,256,256, 19,256,256,256,256,256, 17, 28, 28, 28, 28, 28, 28, 20, 28, 28, 28, 28, 28, 28, 32, 28, 28, 28, 28, 28, 28, 28, 18,256,256, 33, 28, 28, 28, 24, 20, 44, 28, 26,256,
256, 25, 44, 44, 28, 18,256,256, 21, 28, 28, 18,256,256,256,256,256,256, 19,256,256,256,256,256,256, 19,256,256,256,256,256,256,256, 19,256,256, 19,256,256,256,256, 19,256,256,256,256,
256,256,256,256,256, 19,256,256, 19,256,256, 19,256,256,256,256,256,256, 19,256,256,256,256,256,256, 19,256, -1, -1, -1, -1, -1,256, 19,256,256, 19,256, -1, -1,256, 19,256,256,256,256,
256,256,256,256,256, 19,256,256, 19,256,256, 19,256,256, -1, -1,256,256, 19,256,256, -1, -1,256,256, 19,256, -1, -1, -1, -1, -1,256, 19,256,256, 35,256,256,256,256, 19,256,256,256,256,
256, 29, 28, 44, 44, 18,256,256, 41, 30,256, 19,256,256, -1, -1,256,256, 19,256,256, -1, -1,256,256, 19,256,256,256,256,256,256,256, 19,256,256, 19,256,256,256,256, 17, 28, 28, 30,256,
256,256,256,256,256, 19,256,256,256,256,256, 19,256,256,256,256,256,256, 19,256,256,256,256,256,256, 17, 28, 28, 28, 28, 28, 28, 28, 18,256,256, 19,256, 29, 28, 28, 18,256,256,256,256,
256,256,256,256,256, 19,256,256,256,256,256, 19,256,256,256,256,256,256, 19,256,256,256,256,256,256, 19,256,256,256,256,256,256,256, 19,256,256, 19,256,256,256,256, 19,256,256,256,256,
256, 21, 28, 28, 28, 24, 28, 20, 28, 28, 28, 24, 28, 28, 44, 20, 28, 20, 24, 28, 28, 28, 28, 28, 28, 16, 28, 22,256,256,256, 21, 28, 16, 28, 28, 24, 28, 44, 28, 20, 24, 28, 28, 22,256,
256, 19,256,256,256,256,256, 19,256,256,256,256,256,256,256, 19,256, 19,256,256,256,256,256,256,256, 19,256, 19,256,256,256, 19,256, 19,256,256,256,256,256,256, 19,256,256,256, 19,256,
256, 25, 44, 28, 28, 28, 28, 24, 28, 28, 28, 28, 28, 44, 28, 26,256, 25, 28, 28, 28, 28, 28, 28, 28, 26,256, 25, 28, 28, 28, 26,256, 25, 28, 28, 28, 28, 28, 28, 24, 28, 28, 28, 26,256,
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,
